Seller Name,RapNet Account ID,Name Code,Shape,Weight,Color,Clarity,Cut,Polish,Symmetry,Fluorescence Intensity,Lab,Certificate Number,Stock Number,Price Per Carat,Price Percentage,Total Price,Cash Price Per Carat,Cash Price Percentage,Total Cash Price,State,Country,Certificate URL,Image URL,Diamond ID
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.070,E,SI1,Excellent,Excellent,Excellent,Faint,GIA,6225773859,184915,5293.0000,-0.3300,5663.5100,,,,,Belgium,http://www.feedcenter.net/files/258/certs/6225773859.Pdf,,73581456
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.280,J,VVS2,Excellent,Excellent,Excellent,Medium,GIA,6221887913,184902,3600.0000,-0.4000,4608.0000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2016/6/15/6221887913.pdf,,73581459
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,0.590,H,VVS2,Excellent,Excellent,Excellent,None,IGI,214676664,176379,2356.0000,-0.3800,1390.0400,,,,,Belgium,,,73528478
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.040,D,VS2,Excellent,Excellent,Excellent,Faint,GIA,6232013165,184924,7169.0000,-0.3300,7455.7600,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2016/7/5/6232013165.pdf,,73528485
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.050,D,VS1,Excellent,Excellent,Excellent,Faint,GIA,6222392429,184922,7865.0000,-0.3500,8258.2500,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2016/4/21/6222392429.pdf,,73528486
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.060,D,VVS2,Excellent,Excellent,Excellent,Faint,GIA,2226658625,184919,8880.0000,-0.4000,9412.8000,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2016/5/18/2226658625.pdf,,73528487
GUTFREUND DIAMONDS bvba,94056,GUTFRUND,Round,1.070,D,VVS2,Excellent,Excellent,Excellent,Medium,GIA,7212995252,184917,8288.0000,-0.4400,8868.1600,,,,,Belgium,http://s3.amazonaws.com/rap.certs/Gia/Certificates/2016/3/11/7212995252.pdf,,73528488
SUPERGEMS NV,21343,Supergem,Round,0.540,F,VS1,Excellent,Excellent,Excellent,None,GIA,6232101300,500002218,,,,3024.0000,-0.2800,1632.9600,,Belgium,http://www.supergemsgroup.com/certificates/500002218.jpg,http://www.supergemsgroup.com/diamondphoto/500002218-P.jpg,73563043
SUPERGEMS NV,21343,Supergem,Round,0.550,D,VVS2,Excellent,Excellent,Excellent,None,GIA,2238147758,500002240,,,,3816.0000,-0.2800,2098.8000,,Belgium,http://www.supergemsgroup.com/certificates/500002240.jpg,http://www.supergemsgroup.com/diamondphoto/500002240-P.jpg,73563044
SUPERGEMS NV,21343,Supergem,Round,0.550,E,VVS2,Excellent,Excellent,Excellent,None,GIA,5233148027,500002239,,,,3408.0000,-0.2900,1874.4000,,Belgium,http://www.supergemsgroup.com/certificates/500002239.jpg,http://www.supergemsgroup.com/diamondphoto/500002239-P.jpg,73563046
SUPERGEMS NV,21343,Supergem,Round,0.560,D,VS1,Excellent,Excellent,Excellent,None,GIA,7231144534,500002229,,,,3431.0000,-0.2700,1921.3600,,Belgium,http://www.supergemsgroup.com/certificates/500002229.jpg,http://www.supergemsgroup.com/diamondphoto/500002229-P.jpg,73563047
SUPERGEMS NV,21343,Supergem,Round,0.610,D,VS1,Excellent,Excellent,Excellent,Faint,GIA,7231149069,500002254,,,,3243.0000,-0.3100,1978.2300,,Belgium,http://www.supergemsgroup.com/certificates/500002254.jpg,http://www.supergemsgroup.com/diamondphoto/500002254-P.jpg,73563053
SUPERGEMS NV,21343,Supergem,Round,1.000,I,VS2,Very Good,Excellent,Excellent,None,GIA,2224933028,100123123,,,,4736.0000,-0.2600,4736.0000,,Belgium,http://www.supergemsgroup.com/certificates/100123123.jpg,http://www.supergemsgroup.com/diamondphoto/100123123-P.jpg,73563124
SUPERGEMS NV,21343,Supergem,Round,1.010,D,VS1,Excellent,Excellent,Excellent,Medium,GIA,2236082644,500002310,,,,7139.0000,-0.4100,7210.3900,,Belgium,http://www.supergemsgroup.com/certificates/500002310.jpg,http://www.supergemsgroup.com/diamondphoto/500002310-P.jpg,73563126
SUPERGEMS NV,21343,Supergem,Round,1.010,D,SI2,Very Good,Very Good,Very Good,None,GIA,2238129512,500002323,,,,4554.0000,-0.3400,4599.5400,,Belgium,http://www.supergemsgroup.com/certificates/500002323.jpg,http://www.supergemsgroup.com/diamondphoto/500002323-P.jpg,73563127
SUPERGEMS NV,21343,Supergem,Round,1.010,E,IF,Very Good,Excellent,Excellent,None,GIA,6232083334,500002309,,,,9720.0000,-0.4000,9817.2000,,Belgium,http://www.supergemsgroup.com/certificates/500002309.jpg,http://www.supergemsgroup.com/diamondphoto/500002309-P.jpg,73563128
SUPERGEMS NV,21343,Supergem,Round,1.010,E,IF,Excellent,Excellent,Excellent,Faint,GIA,7233082550,500002295,,,,10044.0000,-0.3800,10144.4400,,Belgium,http://www.supergemsgroup.com/certificates/500002295.jpg,http://www.supergemsgroup.com/diamondphoto/500002295-P.jpg,73563129
SUPERGEMS NV,21343,Supergem,Round,1.010,G,VS1,Very Good,Excellent,Very Good,None,GIA,6232083100,500002293,,,,5848.0000,-0.3200,5906.4800,,Belgium,http://www.supergemsgroup.com/certificates/500002293.jpg,http://www.supergemsgroup.com/diamondphoto/500002293-P.jpg,73563131
SUPERGEMS NV,21343,Supergem,Round,1.520,J,VS2,Excellent,Excellent,Excellent,Faint,GIA,2237129197,100124302,,,,4686.0000,-0.2900,7122.7200,,Belgium,http://www.supergemsgroup.com/certificates/100124302.jpg,http://www.supergemsgroup.com/diamondphoto/100124302-P.jpg,73563188
